doy,date,time,air_temp,temp,depth,macro,site 
147,2023-05-27,16:00:00,24.50666667,18.9965,0.5,0,SP_2
147,2023-05-27,17:00:00,24.57333333,18.92475,0.5,0,SP_2
147,2023-05-27,18:00:00,22.58666667,18.949,0.5,0,SP_2
147,2023-05-27,19:00:00,17.19,18.40225,0.5,0,SP_2
147,2023-05-27,20:00:00,14.48833333,18.18775,0.5,0,SP_2
147,2023-05-27,21:00:00,13,18.06875,0.5,0,SP_2
147,2023-05-27,22:00:00,11.75833333,17.76,0.5,0,SP_2
147,2023-05-27,23:00:00,10.515,17.76,0.5,0,SP_2
148,2023-05-28,0:00:00,9.621666667,17.47475,0.5,0,SP_2
148,2023-05-28,1:00:00,9.033333333,17.3315,0.5,0,SP_2
148,2023-05-28,2:00:00,9.341666667,17.26025,0.5,0,SP_2
148,2023-05-28,3:00:00,8.578333333,17.07025,0.5,0,SP_2
148,2023-05-28,4:00:00,8.218333333,16.83175,0.5,0,SP_2
148,2023-05-28,5:00:00,9.446666667,16.87975,0.5,0,SP_2
148,2023-05-28,6:00:00,12.93166667,17.02275,0.5,0,SP_2
148,2023-05-28,7:00:00,16.605,17.1415,0.5,0,SP_2
148,2023-05-28,8:00:00,19.34666667,17.66475,0.5,0,SP_2
148,2023-05-28,9:00:00,19.95666667,18.25925,0.5,0,SP_2
148,2023-05-28,10:00:00,22.20833333,19.09175,0.5,0,SP_2
148,2023-05-28,11:00:00,23.23666667,19.7575,0.5,0,SP_2
148,2023-05-28,12:00:00,24.045,20.11475,0.5,0,SP_2
148,2023-05-28,13:00:00,24.895,20.13825,0.5,0,SP_2
148,2023-05-28,14:00:00,25.325,20.21,0.5,0,SP_2
148,2023-05-28,15:00:00,25.53666667,20.20975,0.5,0,SP_2
148,2023-05-28,16:00:00,25.67666667,20.35275,0.5,0,SP_2
148,2023-05-28,17:00:00,25.38166667,20.16225,0.5,0,SP_2
148,2023-05-28,18:00:00,23.40166667,19.948,0.5,0,SP_2
148,2023-05-28,19:00:00,18.05166667,19.73375,0.5,0,SP_2
148,2023-05-28,20:00:00,15.64833333,19.40075,0.5,0,SP_2
148,2023-05-28,21:00:00,14.47333333,19.1395,0.5,0,SP_2
148,2023-05-28,22:00:00,13.58166667,18.92475,0.5,0,SP_2
148,2023-05-28,23:00:00,12.53166667,18.78225,0.5,0,SP_2
149,2023-05-29,0:00:00,11.64333333,18.59225,0.5,0,SP_2
149,2023-05-29,1:00:00,11.09833333,18.4735,0.5,0,SP_2
149,2023-05-29,2:00:00,10.69666667,18.521,0.5,0,SP_2
149,2023-05-29,3:00:00,10.16,18.3785,0.5,0,SP_2
149,2023-05-29,4:00:00,9.51,18.30725,0.5,0,SP_2
149,2023-05-29,5:00:00,10.77833333,17.9975,0.5,0,SP_2
149,2023-05-29,6:00:00,14.965,18.06875,0.5,0,SP_2
149,2023-05-29,7:00:00,18.21,18.11625,0.5,0,SP_2
149,2023-05-29,8:00:00,20.83333333,18.52075,0.5,0,SP_2
149,2023-05-29,9:00:00,22.26833333,19.23425,0.5,0,SP_2
149,2023-05-29,10:00:00,23.19,19.85275,0.5,0,SP_2
149,2023-05-29,11:00:00,24.01833333,20.54325,0.5,0,SP_2
149,2023-05-29,12:00:00,24.705,20.9485,0.5,0,SP_2
149,2023-05-29,13:00:00,25.27333333,20.90075,0.5,0,SP_2
149,2023-05-29,14:00:00,25.42833333,21.0915,0.5,0,SP_2
149,2023-05-29,15:00:00,25.035,21.06725,0.5,0,SP_2
149,2023-05-29,16:00:00,24.675,20.80525,0.5,0,SP_2
149,2023-05-29,17:00:00,23.46,20.71,0.5,0,SP_2
149,2023-05-29,18:00:00,22.4,20.28125,0.5,0,SP_2
149,2023-05-29,19:00:00,19.95166667,19.75775,0.5,0,SP_2
149,2023-05-29,20:00:00,16.48166667,19.6625,0.5,0,SP_2
149,2023-05-29,21:00:00,14.90333333,19.49575,0.5,0,SP_2
149,2023-05-29,22:00:00,14.375,19.40075,0.5,0,SP_2
149,2023-05-29,23:00:00,13.935,19.35325,0.5,0,SP_2
150,2023-05-30,0:00:00,13.41,19.25825,0.5,0,SP_2
150,2023-05-30,1:00:00,13.53833333,19.1395,0.5,0,SP_2
150,2023-05-30,2:00:00,12.945,19.068,0.5,0,SP_2
150,2023-05-30,3:00:00,14.03,18.9485,0.5,0,SP_2
150,2023-05-30,4:00:00,14.17833333,18.7585,0.5,0,SP_2
150,2023-05-30,5:00:00,15.12166667,18.426,0.5,0,SP_2
150,2023-05-30,6:00:00,17.475,18.6635,0.5,0,SP_2
150,2023-05-30,7:00:00,20.51833333,18.54475,0.5,0,SP_2
150,2023-05-30,8:00:00,22.26666667,19.044,0.5,0,SP_2
150,2023-05-30,9:00:00,24.055,19.591,0.5,0,SP_2
150,2023-05-30,10:00:00,24.96833333,20.11475,0.5,0,SP_2
150,2023-05-30,11:00:00,25.625,20.567,0.5,0,SP_2
150,2023-05-30,12:00:00,26.19333333,21.01975,0.5,0,SP_2
150,2023-05-30,13:00:00,26.61666667,21.187,0.5,0,SP_2
150,2023-05-30,14:00:00,26.77833333,21.25875,0.5,0,SP_2
150,2023-05-30,15:00:00,26.72833333,20.6385,0.5,0,SP_2
150,2023-05-30,16:00:00,26.74333333,21.04375,0.5,0,SP_2
150,2023-05-30,17:00:00,26.645,20.75775,0.5,0,SP_2
150,2023-05-30,18:00:00,25.48,20.6385,0.5,0,SP_2
150,2023-05-30,19:00:00,20.635,20.3525,0.5,0,SP_2
150,2023-05-30,20:00:00,18.14166667,19.9005,0.5,0,SP_2
150,2023-05-30,21:00:00,17.065,19.71,0.5,0,SP_2
150,2023-05-30,22:00:00,17.21833333,19.63825,0.5,0,SP_2
150,2023-05-30,23:00:00,18.36833333,19.472,0.5,0,SP_2
151,2023-05-31,0:00:00,16.91333333,19.2345,0.5,0,SP_2
151,2023-05-31,1:00:00,16.58333333,19.2345,0.5,0,SP_2
151,2023-05-31,2:00:00,17.53666667,19.187,0.5,0,SP_2
151,2023-05-31,3:00:00,16.99666667,19.04375,0.5,0,SP_2
151,2023-05-31,4:00:00,16.165,18.996,0.5,0,SP_2
151,2023-05-31,5:00:00,17.57,18.901,0.5,0,SP_2
151,2023-05-31,6:00:00,19.22333333,19.044,0.5,0,SP_2
151,2023-05-31,7:00:00,21.91833333,19.068,0.5,0,SP_2
151,2023-05-31,8:00:00,23.80333333,19.63875,0.5,0,SP_2
151,2023-05-31,9:00:00,24.85,20.16225,0.5,0,SP_2
151,2023-05-31,10:00:00,26.37166667,20.78175,0.5,0,SP_2
151,2023-05-31,11:00:00,27.21,21.354,0.5,0,SP_2
151,2023-05-31,12:00:00,27.77333333,21.712,0.5,0,SP_2
151,2023-05-31,13:00:00,28.275,21.97475,0.5,0,SP_2
151,2023-05-31,14:00:00,28.29166667,22.0705,0.5,0,SP_2
151,2023-05-31,15:00:00,28.31666667,21.8075,0.5,0,SP_2
151,2023-05-31,16:00:00,28.33333333,21.47325,0.5,0,SP_2
151,2023-05-31,17:00:00,28.28166667,21.33,0.5,0,SP_2
151,2023-05-31,18:00:00,27.31,21.21075,0.5,0,SP_2
151,2023-05-31,19:00:00,22.89666667,20.78175,0.5,0,SP_2
151,2023-05-31,20:00:00,22.97833333,20.4715,0.5,0,SP_2
151,2023-05-31,21:00:00,20.80166667,20.329,0.5,0,SP_2
151,2023-05-31,22:00:00,19.13166667,20.2815,0.5,0,SP_2
151,2023-05-31,23:00:00,18.685,20.21,0.5,0,SP_2
152,2023-06-01,0:00:00,18.85666667,20.186,0.5,0,SP_2
152,2023-06-01,1:00:00,18.81166667,20.0905,0.5,0,SP_2
152,2023-06-01,2:00:00,18.52333333,19.9955,0.5,0,SP_2
152,2023-06-01,3:00:00,18.485,19.9005,0.5,0,SP_2
152,2023-06-01,4:00:00,17.515,19.9005,0.5,0,SP_2
152,2023-06-01,5:00:00,18.395,19.853,0.5,0,SP_2
152,2023-06-01,6:00:00,19.64166667,19.9005,0.5,0,SP_2
152,2023-06-01,7:00:00,21.63166667,19.97175,0.5,0,SP_2
152,2023-06-01,8:00:00,23.31833333,20.49575,0.5,0,SP_2
152,2023-06-01,9:00:00,24.60333333,21.2585,0.5,0,SP_2
152,2023-06-01,10:00:00,26.01333333,21.80725,0.5,0,SP_2
152,2023-06-01,11:00:00,27.165,22.38125,0.5,0,SP_2
152,2023-06-01,12:00:00,27.66,22.7885,0.5,0,SP_2
152,2023-06-01,13:00:00,27.25,23.196,0.5,0,SP_2
152,2023-06-01,14:00:00,27.58,23.436,0.5,0,SP_2
152,2023-06-01,15:00:00,27.25166667,23.70075,0.5,0,SP_2
152,2023-06-01,16:00:00,24.50166667,22.8375,0.5,0,SP_2
152,2023-06-01,17:00:00,22.61833333,22.02275,0.5,0,SP_2
152,2023-06-01,18:00:00,21.27333333,21.92675,0.5,0,SP_2
